,housing_median_age,median_income,median_house_value,log_total_rooms,rooms_per_household,room_per_bedroom,region_0,region_1,region_2,region_3,region_4,region_5,region_6,region_7,ocean_proximity_<1H OCEAN,ocean_proximity_INLAND,ocean_proximity_ISLAND,ocean_proximity_NEAR BAY,ocean_proximity_NEAR OCEAN,age_mid_old,age_new,age_very_old
0,41.0,8.3252,452600.0,6.78105762593618,6.984126984126984,6.821705426356589,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,True
1,21.0,8.3014,358500.0,8.867850063029406,6.238137082601054,6.418625678119349,False,False,False,False,False,False,False,True,False,False,False,True,False,True,False,False
2,52.0,7.2574,352100.0,7.291656209174461,8.288135593220339,7.721052631578948,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,True
3,52.0,5.6431,341300.0,7.150701457592526,5.8173515981735155,5.421276595744681,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,True
4,52.0,3.8462,342200.0,7.395107546562485,6.281853281853282,5.810714285714286,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,True
5,52.0,4.0368,269700.0,6.824373670043086,4.761658031088083,4.314553990610329,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,True
6,52.0,3.6591,299200.0,7.8383433155571165,4.9319066147859925,5.184049079754601,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,True
7,52.0,3.12,241400.0,8.040768994367578,4.797527047913447,4.518195050946143,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,True
8,42.0,2.0804,226700.0,7.846198815497425,4.294117647058823,3.8421052631578947,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,True
9,52.0,3.6912,261100.0,8.174702882469461,4.970588235294118,5.01980198019802,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,True
10,52.0,3.2031,281500.0,7.697575346802343,5.477611940298507,5.073732718894009,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,True
11,52.0,3.2705,241800.0,8.161660452056282,4.772479564032698,4.658244680851064,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,True
12,52.0,3.075,213500.0,7.820840879907344,5.322649572649572,5.255274261603375,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,True
13,52.0,2.6736,191300.0,6.546785410760524,4.0,3.643979057591623,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,True
14,52.0,1.9167,159200.0,7.880048200971577,4.262903225806451,4.222044728434505,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,True
15,50.0,2.125,140000.0,7.02197642307216,4.242424242424242,3.9575971731448765,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,True
16,52.0,2.775,152500.0,7.584264818389059,5.9395770392749245,5.665706051873199,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,True
17,52.0,2.1202,155500.0,7.113956109566034,4.052805280528053,4.191126279863481,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,True
18,50.0,1.9911,158700.0,7.7142311448490855,5.343675417661098,4.920879120879121,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,True
19,52.0,2.6033,162900.0,7.315883504509785,5.465454545454546,5.043624161073826,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,True
20,40.0,1.3578,147500.0,6.62273632394984,4.524096385542169,4.081521739130435,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,True
21,42.0,1.7135,159800.0,7.402451520818244,4.478142076502732,4.4659400544959125,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,True
22,52.0,1.725,113900.0,7.798523053625206,5.096234309623431,4.502772643253235,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,True
23,52.0,2.1806,99700.0,7.4318919168078,5.193846153846154,5.008902077151335,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,True
24,52.0,2.6,132600.0,7.707512194600341,5.270142180094787,5.089244851258581,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,True
25,41.0,2.4038,107500.0,6.284134161070802,4.495798319327731,4.349593495934959,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,True
26,49.0,2.4597,93800.0,7.030857476116121,4.7280334728033475,4.631147540983607,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,True
